Type,Method,Regionname
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,SP,Northern Metropolitan
h,PI,Northern Metropolitan
h,VB,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
u,S,Northern Metropolitan
h,S,Northern Metropolitan
u,VB,Northern Metropolitan
h,VB,Northern Metropolitan
u,S,Northern Metropolitan
h,S,Northern Metropolitan
u,SP,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,PI,Northern Metropolitan
t,S,Northern Metropolitan
u,S,Northern Metropolitan
u,S,Northern Metropolitan
h,PI,Northern Metropolitan
h,S,Northern Metropolitan
u,SP,Northern Metropolitan
h,PI,Northern Metropolitan
u,S,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
u,S,Northern Metropolitan
h,S,Northern Metropolitan
h,SP,Northern Metropolitan
h,S,Northern Metropolitan
h,S,Northern Metropolitan
t,PI,Western Metropolitan
h,VB,Western Metropolitan
h,SP,Western Metropolitan
h,S,Western Metropolitan
t,S,Western Metropolitan
h,S,Western Metropolitan
u,VB,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
h,SP,Western Metropolitan
t,S,Western Metropolitan
u,S,Western Metropolitan
u,S,Western Metropolitan
h,PI,Western Metropolitan
h,S,Western Metropolitan
u,S,Western Metropolitan
u,S,Western Metropolitan
h,PI,Western Metropolitan
t,PI,Western Metropolitan
h,S,Western Metropolitan
u,S,Western Metropolitan
h,SP,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
h,PI,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
t,SP,Western Metropolitan
t,SP,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
u,S,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
h,PI,Western Metropolitan
h,S,Western Metropolitan
h,S,Western Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,PI,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
t,VB,Southern Metropolitan
h,VB,Southern Metropolitan
h,S,Southern Metropolitan
h,VB,Southern Metropolitan
h,S,Southern Metropolitan
h,PI,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,VB,Southern Metropolitan
h,S,Southern Metropolitan
h,S,Southern Metropolitan
h,VB,Southern Metropolitan
u,S,Southern Metropolitan
h,SP,Southern Metropolitan
