Frame length on the wire,Frame Number,Frame Type,Subtype
342,1,Management frame,12
342,2,Management frame,12
136,3,Data frame,0
154,4,Data frame,0
342,5,Management frame,8
342,6,Management frame,12
154,7,Data frame,0
342,8,Management frame,8
154,9,Data frame,0
342,10,Management frame,8
136,11,Data frame,0
342,12,Management frame,8
342,13,Management frame,12
342,14,Management frame,8
342,15,Management frame,8
342,16,Management frame,8
342,17,Management frame,8
136,18,Data frame,0
154,19,Data frame,0
342,20,Management frame,8
156,21,Management frame,4
336,22,Management frame,5
156,23,Management frame,4
156,24,Management frame,4
156,25,Management frame,4
156,26,Management frame,4
156,27,Management frame,4
156,28,Management frame,12
156,29,Management frame,4
156,30,Management frame,12
156,31,Management frame,4
336,32,Management frame,5
156,33,Management frame,4
156,34,Management frame,4
156,35,Management frame,4
156,36,Management frame,4
156,37,Management frame,4
156,38,Management frame,4
156,39,Management frame,12
336,40,Management frame,5
342,41,Management frame,8
154,42,Data frame,0
138,43,Data frame,0
342,44,Management frame,8
154,45,Data frame,0
342,46,Management frame,8
136,47,Data frame,0
342,48,Management frame,8
300,49,Data frame,0
342,50,Management frame,8
342,51,Management frame,12
342,52,Management frame,12
342,53,Management frame,12
342,54,Management frame,12
154,55,Data frame,0
342,56,Management frame,8
342,57,Management frame,8
154,58,Data frame,0
342,59,Management frame,8
154,60,Data frame,0
342,61,Management frame,8
136,62,Data frame,0
136,63,Data frame,0
342,64,Management frame,8
342,65,Management frame,8
342,66,Management frame,8
342,67,Management frame,8
342,68,Management frame,8
342,69,Management frame,8
154,70,Data frame,0
342,71,Management frame,8
342,72,Management frame,8
138,73,Data frame,0
154,74,Data frame,0
342,75,Management frame,8
154,76,Data frame,0
136,77,Data frame,0
342,78,Management frame,8
136,79,Data frame,0
342,80,Management frame,8
136,81,Data frame,0
342,82,Management frame,8
342,83,Management frame,8
342,84,Management frame,8
342,85,Management frame,8
342,86,Management frame,8
154,87,Data frame,0
342,88,Management frame,8
342,89,Management frame,8
154,90,Data frame,0
342,91,Management frame,8
154,92,Data frame,0
136,93,Data frame,0
136,94,Data frame,0
342,95,Management frame,8
336,96,Management frame,5
136,97,Data frame,0
342,98,Management frame,8
336,99,Management frame,5
156,100,Management frame,4
156,101,Management frame,4
336,102,Management frame,5
156,103,Management frame,4
156,104,Management frame,4
336,105,Management frame,5
156,106,Management frame,4
156,107,Management frame,4
156,108,Management frame,4
156,109,Management frame,4
156,110,Management frame,4
156,111,Management frame,4
156,112,Management frame,4
156,113,Management frame,4
156,114,Management frame,4
156,115,Management frame,4
336,116,Management frame,5
342,117,Management frame,8
342,118,Management frame,8
342,119,Management frame,8
342,120,Management frame,8
342,121,Management frame,8
154,122,Data frame,0
342,123,Management frame,8
138,124,Data frame,0
336,125,Management frame,5
342,126,Management frame,8
336,127,Management frame,5
154,128,Data frame,0
342,129,Management frame,8
198,130,Management frame,4
336,131,Management frame,5
154,132,Data frame,0
124,133,Management frame,11
70,134,Control frame,13
101,135,Management frame,11
272,136,Management frame,0
70,137,Control frame,13
233,138,Management frame,1
96,139,Management frame,13
70,140,Control frame,13
103,141,Data frame,8
93,142,Management frame,13
70,143,Control frame,13
93,144,Management frame,13
109,145,Data frame,8
70,146,Control frame,13
80,147,Control frame,8
88,148,Control frame,9
104,149,Data frame,8
70,150,Control frame,13
136,151,Data frame,0
104,152,Data frame,8
70,153,Control frame,13
104,154,Data frame,8
342,155,Management frame,8
259,156,Data frame,8
70,157,Control frame,13
1102,158,Data frame,8
104,159,Data frame,8
70,160,Control frame,13
1102,161,Data frame,8
104,162,Data frame,8
70,163,Control frame,13
896,164,Data frame,8
136,165,Data frame,0
1374,166,Data frame,8
70,167,Control frame,13
104,168,Data frame,8
201,169,Data frame,8
70,170,Control frame,13
159,171,Data frame,8
342,172,Management frame,8
104,173,Data frame,8
70,174,Control frame,13
102,175,Data frame,8
215,176,Data frame,8
215,177,Data frame,8
70,178,Control frame,13
281,179,Data frame,8
193,180,Data frame,8
70,181,Control frame,13
138,182,Data frame,8
70,183,Control frame,13
109,184,Management frame,13
79,185,Control frame,5
138,186,Data frame,8
109,187,Management frame,13
70,188,Control frame,13
80,189,Control frame,8
138,190,Data frame,8
70,191,Control frame,13
76,192,Control frame,11
138,193,Data frame,8
70,194,Control frame,13
76,195,Control frame,11
84,196,Data frame,4
70,197,Control frame,13
342,198,Management frame,8
136,199,Data frame,0
84,200,Data frame,4
70,201,Control frame,13
79,202,Control frame,5
76,203,Control frame,11
109,204,Management frame,13
70,205,Control frame,13
109,206,Management frame,13
80,207,Control frame,8
88,208,Control frame,9
76,209,Control frame,11
76,210,Control frame,11
70,211,Control frame,12
76,212,Control frame,11
70,213,Control frame,12
88,214,Control frame,9
76,215,Control frame,11
76,216,Control frame,11
76,217,Control frame,11
70,218,Control frame,12
76,219,Control frame,11
70,220,Control frame,12
88,221,Control frame,9
76,222,Control frame,11
209,223,Data frame,0
229,224,Data frame,0
342,225,Management frame,8
342,226,Management frame,8
136,227,Data frame,0
76,228,Control frame,11
76,229,Control frame,11
70,230,Control frame,12
88,231,Control frame,9
76,232,Control frame,11
76,233,Control frame,11
70,234,Control frame,12
88,235,Control frame,9
76,236,Control frame,11
76,237,Control frame,11
70,238,Control frame,12
88,239,Control frame,9
76,240,Control frame,11
70,241,Control frame,12
76,242,Control frame,11
76,243,Control frame,11
76,244,Control frame,11
70,245,Control frame,12
88,246,Control frame,9
76,247,Control frame,11
70,248,Control frame,12
76,249,Control frame,11
76,250,Control frame,11
70,251,Control frame,12
88,252,Control frame,9
76,253,Control frame,11
76,254,Control frame,11
70,255,Control frame,12
88,256,Control frame,9
76,257,Control frame,11
70,258,Control frame,12
88,259,Control frame,9
76,260,Control frame,11
76,261,Control frame,11
70,262,Control frame,12
209,263,Data frame,8
76,264,Control frame,11
70,265,Control frame,12
88,266,Control frame,9
342,267,Management frame,8
76,268,Control frame,11
70,269,Control frame,12
79,270,Control frame,5
76,271,Control frame,11
79,272,Control frame,5
76,273,Control frame,11
76,274,Control frame,11
70,275,Control frame,12
76,276,Control frame,11
70,277,Control frame,12
76,278,Control frame,11
76,279,Control frame,11
70,280,Control frame,12
88,281,Control frame,9
342,282,Management frame,8
76,283,Control frame,11
70,284,Control frame,12
79,285,Control frame,5
76,286,Control frame,11
88,287,Control frame,9
76,288,Control frame,11
70,289,Control frame,12
88,290,Control frame,9
154,291,Data frame,0
342,292,Management frame,8
342,293,Management frame,8
84,294,Data frame,4
70,295,Control frame,13
342,296,Management frame,8
79,297,Control frame,5
286,298,Management frame,14
76,299,Control frame,11
84,300,Data frame,4
70,301,Control frame,13
224,302,Data frame,0
154,303,Data frame,0
76,304,Control frame,11
70,305,Control frame,12
76,306,Control frame,11
