Antenna signal,Signal strength (),Channel Num,Channel Frequency
36,36,13,2472
36,36,13,2472
67,67,13,2472
36,36,13,2472
37,37,13,2472
66,66,13,2472
36,36,13,2472
67,67,13,2472
36,36,13,2860
36,36,13,2960
69,69,13,3060
41,41,13,3160
35,35,13,3260
41,41,13,3360
43,43,13,3460
42,42,13,3560
43,43,13,3660
43,43,13,3760
45,45,13,3860
53,53,13,3960
50,50,13,4060
40,40,13,4160
38,38,13,4260
37,37,13,4360
36,36,13,4460
37,37,13,4560
36,36,13,4660
36,36,13,4760
35,35,13,2472
34,34,13,2472
33,33,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
39,39,13,2472
38,38,13,2472
40,40,13,2472
39,39,13,2472
39,39,13,2472
41,41,13,2472
41,41,13,2472
38,38,13,2472
39,39,13,2472
38,38,13,2472
38,38,13,4660
36,36,13,4760
37,37,13,4860
38,38,13,4960
40,40,13,5060
42,42,13,5160
45,45,13,5260
45,45,13,5360
43,43,13,5460
41,41,13,5560
44,44,13,5660
45,45,13,5760
38,38,13,5860
37,37,13,5960
41,41,13,6060
37,37,13,6160
37,37,13,6260
39,39,13,6360
43,43,13,6460
45,45,13,6560
35,35,13,6660
39,39,13,6760
38,38,13,6860
37,37,13,6960
35,35,13,7060
36,36,13,7160
47,47,13,7260
38,38,13,7360
44,44,13,7460
50,50,13,7560
43,43,13,7660
39,39,13,7760
48,48,13,7860
39,39,13,7960
44,44,13,8060
45,45,13,8160
35,35,13,8260
39,39,13,8360
36,36,13,8460
36,36,13,8560
41,41,13,8660
49,49,13,8760
44,44,13,8860
40,40,13,8960
40,40,13,2472
38,38,13,2472
39,39,13,2472
56,56,13,2472
53,53,13,2472
50,50,13,2472
40,40,13,2472
34,34,13,2472
35,35,13,2472
35,35,13,2472
35,35,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
35,35,13,2472
36,36,13,2472
39,39,13,2472
38,38,13,2472
39,39,13,2472
38,38,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
37,37,13,2472
38,38,13,2472
36,36,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
38,38,13,2472
38,38,13,2472
37,37,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
39,39,13,2472
37,37,13,2472
38,38,13,2472
39,39,13,2472
39,39,13,2472
39,39,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
38,38,13,2472
34,34,13,2472
35,35,13,2472
36,36,13,2472
36,36,13,2472
37,37,13,2472
38,38,13,2472
36,36,13,2472
35,35,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
35,35,13,2472
36,36,13,2472
35,35,13,2472
35,35,13,2472
36,36,13,2472
35,35,13,2472
34,34,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
36,36,13,2472
37,37,13,2472
35,35,13,2472
36,36,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
36,36,13,2472
35,35,13,2472
34,34,13,2472
34,34,13,2472
34,34,13,2472
34,34,13,2472
33,33,13,2472
33,33,13,2472
34,34,13,2472
35,35,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
35,35,13,2472
37,37,13,2472
37,37,13,2472
33,33,13,2472
34,34,13,2472
35,35,13,2472
33,33,13,2472
33,33,13,2472
26,26,13,2472
26,26,13,2472
32,32,13,2472
31,31,13,2472
31,31,13,2472
30,30,13,2472
32,32,13,2472
32,32,13,2472
35,35,13,2472
36,36,13,2472
31,31,13,2472
33,33,13,2472
31,31,13,2472
33,33,13,2472
32,32,13,2472
37,37,13,2472
31,31,13,2472
34,34,13,2472
35,35,13,2472
35,35,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
34,34,13,2472
31,31,13,2472
33,33,13,2472
32,32,13,2472
32,32,13,2472
39,39,13,2472
35,35,13,2472
32,32,13,2472
31,31,13,2472
34,34,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
39,39,13,2472
37,37,13,2472
45,45,13,2472
44,44,13,2472
44,44,13,2472
35,35,13,2472
42,42,13,2472
34,34,13,2472
30,30,13,2472
30,30,13,2472
33,33,13,2472
35,35,13,2472
29,29,13,2472
30,30,13,2472
29,29,13,2472
35,35,13,2472
65,65,13,2472
29,29,13,2472
65,65,13,2472
65,65,13,2472
28,28,13,2472
65,65,13,2472
65,65,13,2472
27,27,13,2472
66,66,13,2472
33,33,13,2472
66,66,13,2472
33,33,13,2472
30,30,13,2472
31,31,13,2472
37,37,13,2472
52,52,13,2472
45,45,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
33,33,13,2472
32,32,13,2472
32,32,13,2472
33,33,13,2472
34,34,13,2472
35,35,13,2472
33,33,13,2472
33,33,13,2472
69,69,13,2472
37,37,13,2472
39,39,13,2472
41,41,13,2472
40,40,13,2472
40,40,13,2472
40,40,13,2472
38,38,13,2472
39,39,13,2472
38,38,13,2472
39,39,13,2472
41,41,13,2472
43,43,13,2472
39,39,13,2472
41,41,13,2472
37,37,13,2472
35,35,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
34,34,13,2472
34,34,13,2472
32,32,13,2472
33,33,13,2472
32,32,13,2472
