Flag Retry,Frame Number,Frame Type,Subtype
Frame is being retransmitted,1,Management frame,11
Frame is being retransmitted,2,Management frame,11
Frame is not being retransmitted,3,Data frame,11
Frame is not being retransmitted,4,Data frame,0
Frame is being retransmitted,5,Management frame,11
Frame is being retransmitted,6,Management frame,11
Frame is not being retransmitted,7,Data frame,0
Frame is being retransmitted,8,Management frame,8
Frame is not being retransmitted,9,Data frame,0
Frame is being retransmitted,10,Management frame,0
Frame is not being retransmitted,11,Data frame,0
Frame is not being retransmitted,12,Management frame,8
Frame is being retransmitted,13,Management frame,11
Frame is being retransmitted,14,Management frame,11
Frame is not being retransmitted,15,Management frame,8
Frame is not being retransmitted,16,Management frame,8
Frame is not being retransmitted,17,Management frame,8
Frame is being retransmitted,18,Data frame,0
Frame is being retransmitted,19,Data frame,11
Frame is not being retransmitted,20,Management frame,8
Frame is being retransmitted,21,Management frame,0
Frame is not being retransmitted,22,Management frame,5
Frame is not being retransmitted,23,Management frame,0
Frame is being retransmitted,24,Management frame,11
Frame is being retransmitted,25,Management frame,0
Frame is not being retransmitted,26,Management frame,0
Frame is not being retransmitted,27,Management frame,4
Frame is not being retransmitted,28,Management frame,4
Frame is not being retransmitted,29,Management frame,4
Frame is not being retransmitted,30,Management frame,4
Frame is not being retransmitted,31,Management frame,0
Frame is not being retransmitted,32,Management frame,0
Frame is not being retransmitted,33,Management frame,4
Frame is not being retransmitted,34,Management frame,4
Frame is not being retransmitted,35,Management frame,0
Frame is not being retransmitted,36,Management frame,0
Frame is not being retransmitted,37,Management frame,0
Frame is not being retransmitted,38,Management frame,4
Frame is not being retransmitted,39,Management frame,4
Frame is not being retransmitted,40,Management frame,5
Frame is not being retransmitted,41,Management frame,8
Frame is not being retransmitted,42,Data frame,0
Frame is not being retransmitted,43,Data frame,0
Frame is not being retransmitted,44,Management frame,8
Frame is not being retransmitted,45,Data frame,0
Frame is not being retransmitted,46,Management frame,8
Frame is not being retransmitted,47,Data frame,0
Frame is not being retransmitted,48,Management frame,8
Frame is not being retransmitted,49,Data frame,0
Frame is not being retransmitted,50,Management frame,8
Frame is not being retransmitted,51,Management frame,8
Frame is not being retransmitted,52,Management frame,8
Frame is not being retransmitted,53,Management frame,8
Frame is not being retransmitted,54,Management frame,8
Frame is not being retransmitted,55,Data frame,0
Frame is not being retransmitted,56,Management frame,8
Frame is not being retransmitted,57,Management frame,8
Frame is not being retransmitted,58,Data frame,0
Frame is not being retransmitted,59,Management frame,8
Frame is not being retransmitted,60,Data frame,0
Frame is not being retransmitted,61,Management frame,8
Frame is not being retransmitted,62,Data frame,0
Frame is not being retransmitted,63,Data frame,0
Frame is not being retransmitted,64,Management frame,8
Frame is not being retransmitted,65,Management frame,8
Frame is not being retransmitted,66,Management frame,8
Frame is not being retransmitted,67,Management frame,8
Frame is not being retransmitted,68,Management frame,8
Frame is not being retransmitted,69,Management frame,8
Frame is not being retransmitted,70,Data frame,0
Frame is not being retransmitted,71,Management frame,8
Frame is not being retransmitted,72,Management frame,8
Frame is not being retransmitted,73,Data frame,0
Frame is not being retransmitted,74,Data frame,0
Frame is not being retransmitted,75,Management frame,8
Frame is not being retransmitted,76,Data frame,0
Frame is not being retransmitted,77,Data frame,0
Frame is not being retransmitted,78,Management frame,8
Frame is not being retransmitted,79,Data frame,0
Frame is not being retransmitted,80,Management frame,8
Frame is not being retransmitted,81,Data frame,0
Frame is not being retransmitted,82,Management frame,8
Frame is not being retransmitted,83,Management frame,8
Frame is not being retransmitted,84,Management frame,8
Frame is not being retransmitted,85,Management frame,8
Frame is not being retransmitted,86,Management frame,8
Frame is not being retransmitted,87,Data frame,0
Frame is not being retransmitted,88,Management frame,8
Frame is not being retransmitted,89,Management frame,8
Frame is not being retransmitted,90,Data frame,0
Frame is not being retransmitted,91,Management frame,8
Frame is not being retransmitted,92,Data frame,0
Frame is not being retransmitted,93,Data frame,0
