Antenna signal,Address Resolution Protocol,Arrival Time,Time since reference or first frame,Beacon Interval,BSS Id,Channel Num,Channel Frequency,Channel Width,Code,Complementary Code Keying (CCK),Country Information,Destination address,Data rate (Mb/s),Dynamic Host Configuration Protocol,Direction,DS status,Duration,Duration Start,Duration End,EAPOL Key Length,EAPOL Length,EAPOL Type,Epoch Time,ESS capabilities,Flag Retry,Frame length on the wire,Frame Number,Frame Type,GTK,Hardware type,Header length,IBSS status,IGTK,KCK,Key Data Length,KEK,Key MIC,Key Nonce,Logical-Link Control,MAC timestamp,Message number,More Data,NetBIOS Name Service,Orthogonal Frequency-Division Multiplexing (OFDM),Opcode,OUI,PMKID,PWR MGT,Present flags,TSFT,TSF timestamp,Protected flag,Protocol type,Reason code,Receiver address,Replay Counter,RX flags,Sender IP address,Sender MAC address,Sequence number,Signal strength (dBm),Source address,SSID,Subtype,Tag length,Tag,Target IP address,Target MAC address,Time to live,Time delta from previous captured frame,Time delta from previous displayed frame,Timestamp value,Timestamp echo reply,Transmitter address,Checksum Status,Checksum Code,Destination IP Address,ICMPv6 Excluded Multicast Address,ICMPv6 Nonce,ICMPv6 Multicast Address Records,IPv4 Address,Protocol,Acknowledgment Flag,Bad Checksum,Destination Port,FIN Flag,PUSH Flag,RTO based on delta from frame,SEQ/ACK analysis,Suspected Retransmission,Suspected Out-of-Order,SYN Flag,tcp.analysis.reused_ports,TCP payload,TCP Analysis Flags,TCP Spurious Retransmission,TCP Sequence Number,TCP Sequence Number (raw),TCP Source Port,Time since first frame in TCP stream,Time since previous frame in TCP stream,Transaction ID DNS,Destination Port UDP,Source Port UDP,Account,Authenticated in Frame,Command,Data,Length,Data Offset,Domain,Error Code Type,Generic Execute,Generic Read,Generic Write,GUID Handle File,Header Length,Host SMBv2,Multiplex ID,NT Status,Previous Session Id,Process Id,ProtocolId,Request/Response,Security Signatures,Server Component,Session Flags,Session Id,Tree Id,Write Length,Write Request,TLS Algorithm,Connection ID,Content Type,Description [TLS Message],Length [TLS Message],Level [TLS Message],Application Data Protocol [TLS],Handshake Type [TLS],Session Ticket Length [TLS],Version [TLS],Additional RRs,Answer RRs,Authoritative,Authority RRs,Broadcast Address,Client hardware address padding,Client IP address,Client MAC address,Connection,Content length,Content-Type,Cookie DHCP,Cookie SSH,Date,DH GEX Max,DH GEX Min,DH GEX Number of Bits,DHCP Server Identifier,DNS Additional Data length,DNS Response Flag,DNS Retransmission Flag,DNS query retransmission,DNS Questions,Domain Name,Domain Name Server,File Data,Full request URI,Group,Host,Hardware type,Host key type length,Host key length,Last-Modified [HTTP],Location,Message Code,M-SEARCH*HTTP/1.1\\r\\n,Message type [DHCP],Name,Name Length,Next server IP address,Next request in frame,Next response in frame,Non-authenticated data,Opcode,Packet Length [SSH],Packet Length (encrypted)  [SSH],Padding Length [SSH],Padding String [SSH],Relay agent IP address,Request Method,Request in frame,Request URI,Request URI Path,Request URI Query,Request URI Query Parameter,Request Version,Response line,Response Version,Response in frame,Response Phrase,Router,Server,Severity level,Status Code,Status Code Description,Supported Protocol,Time since request [HTTP],Transaction ID [DHCP]
"-31 dBm,-41 dBm,-31 dBm",,"Dec 13, 2020 20:52:12.299324000 GTB Standard Time",0,0.102400 [Seconds],0c:9d:92:54:fe:34,36,5180MHz,,DE,FALSE,"SSID parameter set,Supported Rates,Traffic Indication Map (TIM),Country Information,Power Constraint,TPC Report,RSN Information,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,VHT Capabilities,VHT Ope",ff:ff:ff:ff:ff:ff,6,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),408\302\265s,34884243472\302\265s,34884243880\302\265s,,,,1607885532,Transmitter is an AP,Frame is not being retransmitted,342,1,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,34884243880,,No data buffered,,TRUE,,"00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.)",,STA will stay up,β\234\223,"Present,Absent,Absent",34884243880,Data is not protected,,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",,,3042,-31 dBm,0c:9d:92:54:fe:34,ASUS_5G,8,"7,8,4,52,1,2,20,5,26,22,8,12,5,2,9,24,5",β\234\223,,,,0,0,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-31 dBm,-41 dBm,-31 dBm",β\234\223,"Dec 13, 2020 20:52:12.360364000 GTB Standard Time",0.06104,,0c:9d:92:54:fe:34,36,5180MHz,,,FALSE,,ff:ff:ff:ff:ff:ff,6,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),132\302\265s,34884305071\302\265s,34884305203\302\265s,,,,1607885532,,Frame is not being retransmitted,136,2,Data frame,,Ethernet,56,,,,,,,,β\234\223,34884305203,,No data buffered,,TRUE,request,,,STA will stay up,β\234\223,"Present,Absent,Absent",34884305203,Data is protected,IPv4,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",192.168.2.1,0c:9d:92:54:fe:30,3043,-31 dBm,0c:9d:92:54:fe:30,,0,,,192.168.2.248,00:00:00:00:00:00,,0.06104,0.06104,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",,"Dec 13, 2020 20:52:12.401726000 GTB Standard Time",0.102402,0.102400 [Seconds],0c:9d:92:54:fe:34,36,5180MHz,,DE,FALSE,"SSID parameter set,Supported Rates,Traffic Indication Map (TIM),Country Information,Power Constraint,TPC Report,RSN Information,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,VHT Capabilities,VHT Ope",ff:ff:ff:ff:ff:ff,6,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),408\302\265s,34884345866\302\265s,34884346274\302\265s,,,,1607885532,Transmitter is an AP,Frame is not being retransmitted,342,3,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,34884346274,,No data buffered,,TRUE,,"00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.)",,STA will stay up,β\234\223,"Present,Absent,Absent",34884346274,Data is not protected,,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",,,3044,-30 dBm,0c:9d:92:54:fe:34,ASUS_5G,8,"7,8,4,52,1,2,20,5,26,22,8,12,5,2,9,24,5",β\234\223,,,,0.041362,0.041362,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",,"Dec 13, 2020 20:52:12.504148000 GTB Standard Time",0.204824,0.102400 [Seconds],0c:9d:92:54:fe:34,36,5180MHz,,DE,FALSE,"SSID parameter set,Supported Rates,Traffic Indication Map (TIM),Country Information,Power Constraint,TPC Report,RSN Information,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,VHT Capabilities,VHT Ope",ff:ff:ff:ff:ff:ff,6,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),408\302\265s,34884448253\302\265s,34884448661\302\265s,,,,1607885533,Transmitter is an AP,Frame is not being retransmitted,342,4,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,34884448661,,No data buffered,,TRUE,,"00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.)",,STA will stay up,β\234\223,"Present,Absent,Absent",34884448661,Data is not protected,,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",,,3045,-30 dBm,0c:9d:92:54:fe:34,ASUS_5G,8,"7,8,4,52,1,2,20,5,26,22,8,12,5,2,9,24,5",β\234\223,,,,0.102422,0.102422,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",,"Dec 13, 2020 20:52:12.606510000 GTB Standard Time",0.307186,0.102400 [Seconds],0c:9d:92:54:fe:34,36,5180MHz,,DE,FALSE,"SSID parameter set,Supported Rates,Traffic Indication Map (TIM),Country Information,Power Constraint,TPC Report,RSN Information,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,VHT Capabilities,VHT Ope",ff:ff:ff:ff:ff:ff,6,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),408\302\265s,34884550653\302\265s,34884551061\302\265s,,,,1607885533,Transmitter is an AP,Frame is not being retransmitted,342,5,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,34884551061,,No data buffered,,TRUE,,"00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.)",,STA will stay up,β\234\223,"Present,Absent,Absent",34884551061,Data is not protected,,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",,,3046,-30 dBm,0c:9d:92:54:fe:34,ASUS_5G,8,"7,8,4,52,1,2,20,5,26,22,8,12,5,2,9,24,5",β\234\223,,,,0.102362,0.102362,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",,"Dec 13, 2020 20:52:12.690386000 GTB Standard Time",0.391062,,0c:9d:92:54:fe:34,36,5180MHz,,,FALSE,,01:80:c2:00:00:00,6,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),136\302\265s,34884635077\302\265s,34884635213\302\265s,,,,1607885533,,Frame is not being retransmitted,138,6,Data frame,,,56,,,,,,,,β\234\223,34884635213,,No data buffered,,TRUE,,,,STA will stay up,β\234\223,"Present,Absent,Absent",34884635213,Data is protected,,,01:80:c2:00:00:00,,"Present,Absent,Absent",,,3047,-30 dBm,0c:9d:92:54:fe:34,,0,,,,,,0.083876,0.083876,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",,"Dec 13, 2020 20:52:12.708930000 GTB Standard Time",0.409606,0.102400 [Seconds],0c:9d:92:54:fe:34,36,5180MHz,,DE,FALSE,"SSID parameter set,Supported Rates,Traffic Indication Map (TIM),Country Information,Power Constraint,TPC Report,RSN Information,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,VHT Capabilities,VHT Ope",ff:ff:ff:ff:ff:ff,6,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),408\302\265s,34884653066\302\265s,34884653474\302\265s,,,,1607885533,Transmitter is an AP,Frame is not being retransmitted,342,7,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,34884653474,,No data buffered,,TRUE,,"00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.)",,STA will stay up,β\234\223,"Present,Absent,Absent",34884653474,Data is not protected,,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",,,3048,-30 dBm,0c:9d:92:54:fe:34,ASUS_5G,8,"7,8,4,52,1,2,20,5,26,22,8,12,5,2,9,24,5",β\234\223,,,,0.018544,0.018544,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",,"Dec 13, 2020 20:52:12.811352000 GTB Standard Time",0.512028,0.102400 [Seconds],0c:9d:92:54:fe:34,36,5180MHz,,DE,FALSE,"SSID parameter set,Supported Rates,Traffic Indication Map (TIM),Country Information,Power Constraint,TPC Report,RSN Information,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,VHT Capabilities,VHT Ope",ff:ff:ff:ff:ff:ff,6,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),408\302\265s,34884755461\302\265s,34884755869\302\265s,,,,1607885533,Transmitter is an AP,Frame is not being retransmitted,342,8,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,34884755869,,No data buffered,,TRUE,,"00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.)",,STA will stay up,β\234\223,"Present,Absent,Absent",34884755869,Data is not protected,,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",,,3049,-30 dBm,0c:9d:92:54:fe:34,ASUS_5G,8,"7,8,4,52,1,2,20,5,26,22,8,12,5,2,9,24,5",β\234\223,,,,0.102422,0.102422,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",β\234\223,"Dec 13, 2020 20:52:12.890385000 GTB Standard Time",0.591061,,0c:9d:92:54:fe:34,36,5180MHz,,,FALSE,,ff:ff:ff:ff:ff:ff,6,,,Frame from DS to a STA via AP(To DS: 0 From DS: 1),132\302\265s,34884835077\302\265s,34884835209\302\265s,,,,1607885533,,Frame is not being retransmitted,136,9,Data frame,,Ethernet,56,,,,,,,,β\234\223,34884835209,,No data buffered,,TRUE,request,,,STA will stay up,β\234\223,"Present,Absent,Absent",34884835209,Data is protected,IPv4,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",192.168.2.1,0c:9d:92:54:fe:30,3050,-30 dBm,0c:9d:92:54:fe:30,,0,,,192.168.2.73,00:00:00:00:00:00,,0.079033,0.079033,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-40 dBm,-30 dBm",,"Dec 13, 2020 20:52:12.913758000 GTB Standard Time",0.614434,0.102400 [Seconds],0c:9d:92:54:fe:34,36,5180MHz,,DE,FALSE,"SSID parameter set,Supported Rates,Traffic Indication Map (TIM),Country Information,Power Constraint,TPC Report,RSN Information,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,VHT Capabilities,VHT Ope",ff:ff:ff:ff:ff:ff,6,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),408\302\265s,34884857872\302\265s,34884858280\302\265s,,,,1607885533,Transmitter is an AP,Frame is not being retransmitted,342,10,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,34884858280,,No data buffered,,TRUE,,"00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.)",,STA will stay up,β\234\223,"Present,Absent,Absent",34884858280,Data is not protected,,,ff:ff:ff:ff:ff:ff,,"Present,Absent,Absent",,,3051,-30 dBm,0c:9d:92:54:fe:34,ASUS_5G,8,"7,8,4,52,1,2,20,5,26,22,8,12,5,2,9,24,5",β\234\223,,,,0.023373,0.023373,,,0c:9d:92:54:fe:34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
