Antenna signal,Address Resolution Protocol,Arrival Time,Time since reference or first frame,Beacon Interval,BSS Id,Channel Num,Channel Frequency,Channel Width,Code,Complementary Code Keying (CCK),Country Information,Destination address,Data rate (Mb/s),Dynamic Host Configuration Protocol,Direction,DS status,Duration,Duration Start,Duration End,EAPOL Key Length,EAPOL Length,EAPOL Type,Epoch Time,ESS capabilities,Flag Retry,Frame length on the wire,Frame Number,Frame Type,GTK,Hardware type,Header length,IBSS status,IGTK,KCK,Key Data Length,KEK,Key MIC,Key Nonce,Logical-Link Control,MAC timestamp,Message number,More Data,NetBIOS Name Service,Orthogonal Frequency-Division Multiplexing (OFDM),Opcode,OUI,PMKID,PWR MGT,Present flags,TSFT,TSF timestamp,Protected flag,Protocol type,Reason code,Receiver address,Replay Counter,RX flags,Sender IP address,Sender MAC address,Sequence number,Signal strength (dBm),Source address,SSID,Subtype,Tag length,Tag,Target IP address,Target MAC address,Time to live,Time delta from previous captured frame,Time delta from previous displayed frame,Timestamp value,Timestamp echo reply,Transmitter address,Checksum Status,Checksum Code,Destination IP Address,ICMPv6 Excluded Multicast Address,ICMPv6 Nonce,ICMPv6 Multicast Address Records,IPv4 Address,Protocol,Acknowledgment Flag,Bad Checksum,Destination Port,FIN Flag,PUSH Flag,RTO based on delta from frame,SEQ/ACK analysis,Suspected Retransmission,Suspected Out-of-Order,SYN Flag,tcp.analysis.reused_ports,TCP payload,TCP Analysis Flags,TCP Spurious Retransmission,TCP Sequence Number,TCP Sequence Number (raw),TCP Source Port,Time since first frame in TCP stream,Time since previous frame in TCP stream,Transaction ID DNS,Destination Port UDP,Source Port UDP,Account,Authenticated in Frame,Command,Data,Length,Data Offset,Domain,Error Code Type,Generic Execute,Generic Read,Generic Write,GUID Handle File,Header Length,Host SMBv2,Multiplex ID,NT Status,Previous Session Id,Process Id,ProtocolId,Request/Response,Security Signatures,Server Component,Session Flags,Session Id,Tree Id,Write Length,Write Request,TLS Algorithm,Connection ID,Content Type,Description [TLS Message],Length [TLS Message],Level [TLS Message],Application Data Protocol [TLS],Handshake Type [TLS],Session Ticket Length [TLS],Version [TLS],Additional RRs,Answer RRs,Authoritative,Authority RRs,Broadcast Address,Client hardware address padding,Client IP address,Client MAC address,Connection,Content length,Content-Type,Cookie DHCP,Cookie SSH,Date,DH GEX Max,DH GEX Min,DH GEX Number of Bits,DHCP Server Identifier,DNS Additional Data length,DNS Response Flag,DNS Retransmission Flag,DNS query retransmission,DNS Questions,Domain Name,Domain Name Server,File Data,Full request URI,Group,Host,Hardware type,Host key type length,Host key length,Last-Modified [HTTP],Location,Message Code,M-SEARCH*HTTP/1.1\\r\\n,Message type [DHCP],Name,Name Length,Next server IP address,Next request in frame,Next response in frame,Non-authenticated data,Opcode,Packet Length [SSH],Packet Length (encrypted)  [SSH],Padding Length [SSH],Padding String [SSH],Relay agent IP address,Request Method,Request in frame,Request URI,Request URI Path,Request URI Query,Request URI Query Parameter,Request Version,Response line,Response Version,Response in frame,Response Phrase,Router,Server,Severity level,Status Code,Status Code Description,Supported Protocol,Time since request [HTTP],Transaction ID [DHCP]
"-30 dBm,-30 dBm,-36 dBm",,"Dec 10, 2020 21:52:52.928242000 GTB Standard Time",0,0.102400 [Seconds],0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"SSID parameter set,Supported Rates,DS Parameter set,ERP Information,ERP Information,RSN Information,Extended Supported Rates,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Spec",40:d3:ae:61:77:78,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),2408\302\265s,13951386237\302\265s,13951388645\302\265s,,,,1607629973,Transmitter is an AP,Frame is not being retransmitted,333,1,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,13951388645,,No data buffered,,FALSE,,"f8:32:e4 (ASUSTek COMPUTER INC.,00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.),00:90:4c (Epigram, Inc.)",,STA will stay up,β\234\223,"Present,Absent,Absent",13951388645,Data is not protected,,,40:d3:ae:61:77:78,,"Present,Absent,Absent",,,3484,-36 dBm,0c:9d:92:54:fe:30,ASUS,5,"4,8,1,1,1,20,4,5,26,22,8,37,9,24,5,30",β\234\223,,,,0,0,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-30 dBm,-36 dBm",,"Dec 10, 2020 21:52:52.931193000 GTB Standard Time",0.002951,0.102400 [Seconds],0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"SSID parameter set,Supported Rates,DS Parameter set,ERP Information,ERP Information,RSN Information,Extended Supported Rates,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Spec",40:d3:ae:61:77:78,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),2408\302\265s,13951389179\302\265s,13951391587\302\265s,,,,1607629973,Transmitter is an AP,Frame is being retransmitted,333,2,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,13951391587,,No data buffered,,FALSE,,"f8:32:e4 (ASUSTek COMPUTER INC.,00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.),00:90:4c (Epigram, Inc.)",,STA will stay up,β\234\223,"Present,Absent,Absent",13951391587,Data is not protected,,,40:d3:ae:61:77:78,,"Present,Absent,Absent",,,3484,-36 dBm,0c:9d:92:54:fe:30,ASUS,5,"4,8,1,1,1,20,4,5,26,22,8,37,9,24,5,30",β\234\223,,,,0.002951,0.002951,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,β\234\223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note,,,,,
"-67 dBm,-67 dBm,-67 dBm",,"Dec 10, 2020 21:52:52.931495000 GTB Standard Time",0.003253,,,13,2472MHz,,,TRUE,,,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),304\302\265s,13951393701\302\265s,13951394005\302\265s,,,,1607629973,,Frame is not being retransmitted,70,3,Control frame,,,56,,,,,,,,,13951394005,,No data buffered,,FALSE,,,,STA will go to sleep,β\234\223,"Present,Absent,Absent",13951394005,Data is not protected,,,0c:9d:92:54:fe:30,,"Present,Absent,Absent",,,,-67 dBm,,,13,,,,,,0.000302,0.000302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-30 dBm,-36 dBm",,"Dec 10, 2020 21:52:52.948551000 GTB Standard Time",0.020309,0.102400 [Seconds],0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"SSID parameter set,Supported Rates,DS Parameter set,ERP Information,ERP Information,RSN Information,Extended Supported Rates,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Spec",40:d3:ae:61:77:78,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),2408\302\265s,13951406557\302\265s,13951408965\302\265s,,,,1607629973,Transmitter is an AP,Frame is not being retransmitted,333,4,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,13951408965,,No data buffered,,FALSE,,"f8:32:e4 (ASUSTek COMPUTER INC.,00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.),00:90:4c (Epigram, Inc.)",,STA will stay up,β\234\223,"Present,Absent,Absent",13951408965,Data is not protected,,,40:d3:ae:61:77:78,,"Present,Absent,Absent",,,3485,-36 dBm,0c:9d:92:54:fe:30,ASUS,5,"4,8,1,1,1,20,4,5,26,22,8,37,9,24,5,30",β\234\223,,,,0.017056,0.017056,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-31 dBm,-31 dBm,-37 dBm",,"Dec 10, 2020 21:52:52.951456000 GTB Standard Time",0.023214,0.102400 [Seconds],0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"SSID parameter set,Supported Rates,DS Parameter set,ERP Information,ERP Information,RSN Information,Extended Supported Rates,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Spec",40:d3:ae:61:77:78,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),2408\302\265s,13951409473\302\265s,13951411881\302\265s,,,,1607629973,Transmitter is an AP,Frame is being retransmitted,333,5,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,13951411881,,No data buffered,,FALSE,,"f8:32:e4 (ASUSTek COMPUTER INC.,00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.),00:90:4c (Epigram, Inc.)",,STA will stay up,β\234\223,"Present,Absent,Absent",13951411881,Data is not protected,,,40:d3:ae:61:77:78,,"Present,Absent,Absent",,,3485,-37 dBm,0c:9d:92:54:fe:30,ASUS,5,"4,8,1,1,1,20,4,5,26,22,8,37,9,24,5,30",β\234\223,,,,0.002905,0.002905,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,β\234\223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note,,,,,
"-66 dBm,-66 dBm,-66 dBm",,"Dec 10, 2020 21:52:52.951767000 GTB Standard Time",0.023525,,,13,2472MHz,,,TRUE,,,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),304\302\265s,13951413968\302\265s,13951414272\302\265s,,,,1607629973,,Frame is not being retransmitted,70,6,Control frame,,,56,,,,,,,,,13951414272,,No data buffered,,FALSE,,,,STA will go to sleep,β\234\223,"Present,Absent,Absent",13951414272,Data is not protected,,,0c:9d:92:54:fe:30,,"Present,Absent,Absent",,,,-66 dBm,,,13,,,,,,0.000311,0.000311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-30 dBm,-30 dBm,-36 dBm",,"Dec 10, 2020 21:52:52.954299000 GTB Standard Time",0.026057,0.102400 [Seconds],0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"SSID parameter set,Supported Rates,DS Parameter set,ERP Information,ERP Information,RSN Information,Extended Supported Rates,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Spec",40:d3:ae:61:77:78,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),2408\302\265s,13951412294\302\265s,13951414702\302\265s,,,,1607629973,Transmitter is an AP,Frame is being retransmitted,333,7,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,13951414702,,No data buffered,,FALSE,,"f8:32:e4 (ASUSTek COMPUTER INC.,00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.),00:90:4c (Epigram, Inc.)",,STA will stay up,β\234\223,"Present,Absent,Absent",13951414702,Data is not protected,,,40:d3:ae:61:77:78,,"Present,Absent,Absent",,,3485,-36 dBm,0c:9d:92:54:fe:30,ASUS,5,"4,8,1,1,1,20,4,5,26,22,8,37,9,24,5,30",β\234\223,,,,0.002532,0.002532,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,β\234\223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note,,,,,
"-67 dBm,-67 dBm,-67 dBm",,"Dec 10, 2020 21:52:52.954610000 GTB Standard Time",0.026368,,,13,2472MHz,,,TRUE,,,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),304\302\265s,13951416816\302\265s,13951417120\302\265s,,,,1607629973,,Frame is not being retransmitted,70,8,Control frame,,,56,,,,,,,,,13951417120,,No data buffered,,FALSE,,,,STA will go to sleep,β\234\223,"Present,Absent,Absent",13951417120,Data is not protected,,,0c:9d:92:54:fe:30,,"Present,Absent,Absent",,,,-67 dBm,,,13,,,,,,0.000311,0.000311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"-29 dBm,-29 dBm,-36 dBm",,"Dec 10, 2020 21:52:52.957047000 GTB Standard Time",0.028805,0.102400 [Seconds],0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"SSID parameter set,Supported Rates,DS Parameter set,ERP Information,ERP Information,RSN Information,Extended Supported Rates,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Spec",40:d3:ae:61:77:78,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),2408\302\265s,13951415042\302\265s,13951417450\302\265s,,,,1607629973,Transmitter is an AP,Frame is being retransmitted,333,9,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,13951417450,,No data buffered,,FALSE,,"f8:32:e4 (ASUSTek COMPUTER INC.,00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.),00:90:4c (Epigram, Inc.)",,STA will stay up,β\234\223,"Present,Absent,Absent",13951417450,Data is not protected,,,40:d3:ae:61:77:78,,"Present,Absent,Absent",,,3485,-36 dBm,0c:9d:92:54:fe:30,ASUS,5,"4,8,1,1,1,20,4,5,26,22,8,37,9,24,5,30",β\234\223,,,,0.002437,0.002437,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,β\234\223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Note,,,,,
"-30 dBm,-30 dBm,-36 dBm",,"Dec 10, 2020 21:52:52.969854000 GTB Standard Time",0.041612,0.102400 [Seconds],0c:9d:92:54:fe:30,13,2472MHz,,,TRUE,"SSID parameter set,Supported Rates,DS Parameter set,ERP Information,ERP Information,RSN Information,Extended Supported Rates,QBSS Load Element,HT Capabilities (802.11n D1.10),HT Information (802.11n D1.10),Extended Capabilities,Vendor Specific,Vendor Spec",40:d3:ae:61:77:78,1,,,Not leaving DS or network is operating in AD-HOC mode (To DS: 0 From DS: 0),2408\302\265s,13951427849\302\265s,13951430257\302\265s,,,,1607629973,Transmitter is an AP,Frame is not being retransmitted,333,10,Management frame,,,56,Transmitter belongs to a BSS,,,,,,,,13951430257,,No data buffered,,FALSE,,"f8:32:e4 (ASUSTek COMPUTER INC.,00:10:18 (Broadcom),00:50:f2 (Microsoft Corp.),00:90:4c (Epigram, Inc.)",,STA will stay up,β\234\223,"Present,Absent,Absent",13951430257,Data is not protected,,,40:d3:ae:61:77:78,,"Present,Absent,Absent",,,3486,-36 dBm,0c:9d:92:54:fe:30,ASUS,5,"4,8,1,1,1,20,4,5,26,22,8,37,9,24,5,30",β\234\223,,,,0.012807,0.012807,,,0c:9d:92:54:fe:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
