Antenna signal,Signal strength (),Channel Num,Channel Frequency
36,36,13,2472
36,36,13,2472
67,67,13,2472
36,36,13,2472
37,37,13,2472
66,66,13,2472
36,36,13,2472
67,67,13,2472
36,36,13,2472
36,36,13,2472
69,69,13,2472
41,41,13,2472
35,35,13,2472
41,41,13,2472
43,43,13,2472
42,42,13,2472
43,43,13,2472
43,43,13,2472
45,45,13,2472
53,53,13,2472
50,50,13,2472
40,40,13,2472
38,38,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
34,34,13,2472
33,33,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
39,39,13,2472
38,38,13,2472
40,40,13,2472
39,39,13,2472
39,39,13,2472
41,41,13,2472
41,41,13,2472
38,38,13,2472
39,39,13,2472
38,38,13,2472
38,38,13,2472
36,36,13,2472
37,37,13,2472
38,38,13,2472
40,40,13,2472
42,42,13,2472
45,45,13,2472
45,45,13,2472
43,43,13,2472
41,41,13,2472
44,44,13,2472
45,45,13,2472
38,38,13,2472
37,37,13,2472
41,41,13,2472
37,37,13,2472
37,37,13,2472
39,39,13,2472
43,43,13,2472
45,45,13,2472
35,35,13,2472
39,39,13,2472
38,38,13,2472
37,37,13,2472
35,35,13,2472
36,36,13,2472
47,47,13,2472
38,38,13,2472
44,44,13,2472
50,50,13,2472
43,43,13,2472
39,39,13,2472
48,48,13,2472
39,39,13,2472
44,44,13,2472
45,45,13,2472
35,35,13,2472
39,39,13,2472
36,36,13,2472
36,36,13,2472
41,41,13,2472
49,49,13,2472
44,44,13,2472
40,40,13,2472
40,40,13,2472
38,38,13,2472
39,39,13,2472
56,56,13,2472
53,53,13,2472
50,50,13,2472
40,40,13,2472
34,34,13,2472
35,35,13,2472
35,35,13,2472
35,35,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
35,35,13,2472
36,36,13,2472
39,39,13,2472
38,38,13,2472
39,39,13,2472
38,38,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
37,37,13,2472
38,38,13,2472
36,36,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
38,38,13,2472
38,38,13,2472
37,37,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
39,39,13,2472
37,37,13,2472
38,38,13,2472
39,39,13,2472
39,39,13,2472
39,39,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
38,38,13,2472
34,34,13,2472
35,35,13,2472
36,36,13,2472
36,36,13,2472
37,37,13,2472
38,38,13,2472
36,36,13,2472
35,35,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
35,35,13,2472
36,36,13,2472
35,35,13,2472
35,35,13,2472
36,36,13,2472
35,35,13,2472
34,34,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
38,38,13,2472
37,37,13,2472
38,38,13,2472
38,38,13,2472
36,36,13,2472
37,37,13,2472
35,35,13,2472
36,36,13,2472
36,36,13,2472
37,37,13,2472
37,37,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
36,36,13,2472
35,35,13,2472
34,34,13,2472
34,34,13,2472
34,34,13,2472
34,34,13,2472
33,33,13,2472
33,33,13,2472
34,34,13,2472
35,35,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
35,35,13,2472
37,37,13,2472
37,37,13,2472
33,33,13,2472
34,34,13,2472
35,35,13,2472
33,33,13,2472
33,33,13,2472
26,26,13,2472
26,26,13,2472
32,32,13,2472
31,31,13,2472
31,31,13,2472
30,30,13,2472
32,32,13,2472
32,32,13,2472
35,35,13,2472
36,36,13,2472
31,31,13,2472
33,33,13,2472
31,31,13,2472
33,33,13,2472
32,32,13,2472
37,37,13,2472
31,31,13,2472
34,34,13,2472
35,35,13,2472
35,35,13,2472
37,37,13,2472
37,37,13,2472
37,37,13,2472
34,34,13,2472
31,31,13,2472
33,33,13,2472
32,32,13,2472
32,32,13,2472
39,39,13,2472
35,35,13,2472
32,32,13,2472
31,31,13,2472
34,34,13,2472
36,36,13,2472
36,36,13,2472
36,36,13,2472
39,39,13,2472
37,37,13,2472
45,45,13,2472
44,44,13,2472
44,44,13,2472
35,35,13,2472
42,42,13,2472
34,34,13,2472
30,30,13,2472
30,30,13,2472
33,33,13,2472
35,35,13,2472
29,29,13,2472
30,30,13,2472
29,29,13,2472
35,35,13,2472
65,65,13,2472
29,29,13,2472
65,65,13,2472
65,65,13,2472
28,28,13,2472
65,65,13,2472
65,65,13,2472
27,27,13,2472
66,66,13,2472
33,33,13,2472
66,66,13,2472
33,33,13,2472
30,30,13,2472
31,31,13,2472
37,37,13,2472
52,52,13,2472
45,45,13,2472
36,36,13,2472
36,36,13,2472
35,35,13,2472
33,33,13,2472
32,32,13,2472
32,32,13,2472
33,33,13,2472
34,34,13,2472
35,35,13,2472
33,33,13,2472
33,33,13,2472
69,69,13,2472
37,37,13,2472
39,39,13,2472
41,41,13,2472
40,40,13,2472
40,40,13,2472
40,40,13,2472
38,38,13,2472
39,39,13,2472
38,38,13,2472
39,39,13,2472
41,41,13,2472
43,43,13,2472
39,39,13,2472
41,41,13,2472
37,37,13,2472
35,35,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
33,33,13,2472
34,34,13,2472
34,34,13,2472
32,32,13,2472
33,33,13,2472
32,32,13,2472
