Level	Date and Time	Source	Event ID	Task Category
Information	25/06/2022 22:31:16	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:31:14.909
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 20.62.223.48
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:31:16	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:31:14.877
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 184.105.233.221
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:31:15	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:31:15.794
ProcessGuid: {df655c70-622a-62b7-f904-000000005201}
ProcessId: 21544
Image: C:\Users\chrsm\AppData\Roaming\Foxit Software\Addon\Foxit PDF Reader\FoxitPDFReaderUpdater.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:31:13	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:31:13.248
ProcessGuid: {df655c70-624b-62b7-fb04-000000005201}
ProcessId: 11480
Image: C:\Users\chrsm\AppData\Local\Temp\foxADF.tmp\Foxit PDFReader Setup.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:31:13	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:31:13.242
ProcessGuid: {df655c70-624d-62b7-fc04-000000005201}
ProcessId: 20448
Image: C:\Users\chrsm\AppData\Local\Temp\is-F516M.tmp\Foxit PDFReader Setup.tmp
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:30:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:30:35.911
ProcessGuid: {df655c70-625b-62b7-0b05-000000005201}
ProcessId: 8432
Image: C:\Users\chrsm\AppData\Local\Temp\FoxitUpdater.exe
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:30:35	Microsoft-Windows-Sysmon	5	Process terminated (rule: ProcessTerminate)	"Process terminated:
RuleName: C:\Users
UtcTime: 2022-06-25 19:30:35.903
ProcessGuid: {df655c70-6258-62b7-fe04-000000005201}
ProcessId: 14504
Image: C:\Users\chrsm\AppData\Local\Temp\_iu14D2N.tmp
User: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:30:32	Microsoft-Windows-Sysmon	1	Process Create (rule: ProcessCreate)	"Process Create:
RuleName: Sysmon_Event_1(ProcessCreate)
UtcTime: 2022-06-25 19:30:32.423
ProcessGuid: {df655c70-6258-62b7-fe04-000000005201}
ProcessId: 14504
Image: C:\Users\chrsm\AppData\Local\Temp\_iu14D2N.tmp
FileVersion: 51.1052.0.0
Description: Setup/Uninstall
Product: -
Company: -
OriginalFileName: -
CommandLine: ""C:\Users\chrsm\AppData\Local\Temp\_iu14D2N.tmp"" /SECONDPHASE=""C:\PROGRAM FILES (X86)\FOXIT SOFTWARE\FOXIT READER\unins000.exe"" /FIRSTPHASEWND=$40C76 /verysilent /norestart
CurrentDirectory: C:\WINDOWS\system32\
User: LAPTOP-ROPR18AK\chrsm
LogonGuid: {df655c70-4db2-62b7-961b-c80000000000}
LogonId: 0xC81B96
TerminalSessionId: 2
IntegrityLevel: High
Hashes: MD5=B6DA80C141C355B147B150A565ADD773,SHA256=5EDD1A302E786D31BF14786E9BAF705F9A2A303213E506821B50B8E45B64FDF5,IMPHASH=F62B90E31ECA404F228FCF7068B00F31
ParentProcessGuid: {df655c70-6258-62b7-fd04-000000005201}
ParentProcessId: 24272
ParentImage: C:\Program Files (x86)\FOXIT SOFTWARE\FOXIT READER\unins000.exe
ParentCommandLine: ""C:\PROGRAM FILES (X86)\FOXIT SOFTWARE\FOXIT READER\unins000.exe"" /verysilent /norestart
ParentUser: LAPTOP-ROPR18AK\chrsm"
Information	25/06/2022 22:29:52	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:50.795
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 20.189.173.11
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:29:51	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:49.831
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 64.62.208.12
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
Information	25/06/2022 22:29:48	Microsoft-Windows-Sysmon	3	Network connection detected (rule: NetworkConnect)	"Network connection detected:
RuleName: Sysmon_Event_3(NetworkConnect)
UtcTime: 2022-06-25 19:29:46.845
ProcessGuid: {df655c70-4174-62b7-eb03-000000000000}
ProcessId: 4
Image: System
User: NT AUTHORITY\SYSTEM
Protocol: udp
Initiated: true
SourceIsIpv6: false
SourceIp: 192.168.1.5
SourceHostname: LAPTOP-ROPR18AK
SourcePort: 137
SourcePortName: netbios-ns
DestinationIsIpv6: false
DestinationIp: 52.109.88.126
DestinationHostname: -
DestinationPort: 137
DestinationPortName: netbios-ns"
